what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457338564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401457347682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457350581
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457351688
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1401457369424
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401457369456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457383467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457391494
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457413517
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457415995
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457417320
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1401457459573
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457480178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401457482469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401457484635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457487051
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457487706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401457503027
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457505474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457505957
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457512986
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1401457514794
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1401457515340
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1401457515620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457516259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457517397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457521106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457527325
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457528073
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1401457563375
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1401457563469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401457573023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457575501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401457581549
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457592350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457593612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457594687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457595997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457604507
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457607998
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457616071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457617770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457619033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457619937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457624815
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457626997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457650064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457735740
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457756937
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457757996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457765602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457766538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457767426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457769764
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457780503
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457781562
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457788327
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457789948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457825328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457826278
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457829224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457829318
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457829427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457832341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457835396
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457837017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457845418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457846509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457847475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457849766
