what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402322466554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322481148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322482723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322483690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322498237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322508965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322509760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322510633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322512270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322521953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322522935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322523777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322527255
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402322577384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402322578522
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402322578990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322601864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322602721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322603610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322622180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322634265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322648079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322651712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322653053
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402322653334
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1402322656858
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1402322657029
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1402322657029
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1402322657403
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1402322657466
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1402322657559
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1402322657559
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1402322657559
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1402322657559
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1402322657747
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1402322657747
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1402322657747
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1402494368261
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1402494368261
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1402494368261
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1402494368276
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1402494368276
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1402494368276
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1402494368276
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1402494368292
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1402494368292
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1402494368292
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1402494368292
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1402494368292
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1402494368307
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1402494368307
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1402494368307
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1402494368307
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1402494368307
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1402494368307
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1402494368307
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1402494368307
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1402494368307
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1402494368307
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1402494368307
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1402494368323
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1402494368323
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1402494368323
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1402494368323
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1402494368323
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1402494368338
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1402494368338
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1402494368354
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1402494368354
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1402494368354
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1402494368354
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1402494368354
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1402494368370
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1402494368370
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1402494368370
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1402494368370
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1402494368370
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1402494368370
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1402494368370
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1402494368370
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1402494368370
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1402494368370
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1402494368370
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1402494368370
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1402494368385
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1402494368385
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1402494368385
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1402494368385
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1402494368385
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1402494368385
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1402494368385
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1402494368385
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1402494368385
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1402494368385
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1402494368385
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1402494368385
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1402494368385
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1402494368385
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1402494368385
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1402494368401
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1402494368401
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1402494368401
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1402494368401
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1402494368401
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1402494368401
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1402494368401
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1402494368401
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1402494368401
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1402494368432
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1402494368432
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1402494368432
os,sysinfo,,,"win32",1402494368432
arch,sysinfo,,,"x86",1402494368432
ws,sysinfo,,,"win32",1402494368432
locale,sysinfo,,,"en_US",1402494368432
processors,sysinfo,,,"2",1402494368432
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402494368432
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1402494368432
java.specification.name,sysinfo,,,"Java Platform API Specification",1402494368432
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402494368432
java.specification.version,sysinfo,,,"1.6",1402494368432
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1402494368432
java.version,sysinfo,,,"1.6.0_35",1402494368432
java.vm.info,sysinfo,,,"mixed mode, sharing",1402494368432
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1402494368432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402494368432
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402494368432
java.vm.specification.version,sysinfo,,,"1.0",1402494368432
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1402494368432
java.vm.version,sysinfo,,,"20.10-b01",1402494368432
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1402494369445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494369913
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1402494370489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494371440
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1402494372921
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1402494373451
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1402494373747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494380402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494415455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494427503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494428843
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402494429062
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1402494432179
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1402494432241
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1402494432241
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1402494432241
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1402494432272
